event_idx,station,event_on_time,event_off_time,consensus_ok,consensus_time,consensus_relative_s,consensus_n_votes,consensus_methods,consensus_components,ar_p_time,ar_s_time,ar_p_relative_s,ar_s_relative_s
0,node1,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.882000Z,0.65,3,"aic,ar_p,aic","Z,ZNE,E",2026-04-30T18:30:06.882000Z,2026-04-30T18:30:06.892000Z,0.6499999761581421,0.6600000262260437
0,node2,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.902000Z,0.67,6,"ar_p,aic,aic,baer,aic,baer","ZNE,Z,N,Z,E,E",2026-04-30T18:30:06.892000Z,2026-04-30T18:30:06.900000Z,0.6600000262260437,0.6679999828338623
0,node3,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.908000Z,0.676,6,"ar_p,aic,aic,aic,baer,baer","ZNE,Z,N,E,Z,E",2026-04-30T18:30:06.894000Z,2026-04-30T18:30:06.908000Z,0.6620000004768372,0.6759999990463257
0,node4,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.910000Z,0.678,7,"baer,ar_p,aic,aic,aic,baer,baer","N,ZNE,Z,N,E,Z,E",2026-04-30T18:30:06.898000Z,2026-04-30T18:30:06.910000Z,0.6660000085830688,0.6779999732971191
0,node5,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.914000Z,0.682,4,"ar_p,aic,aic,baer","ZNE,Z,N,N",2026-04-30T18:30:06.902000Z,2026-04-30T18:30:06.232000Z,0.6700000166893005,0.0
0,node6,2026-04-30 18:30:06.482,2026-04-30 18:30:07.084,True,2026-04-30T18:30:06.916000Z,0.684,5,"ar_p,aic,aic,baer,aic","ZNE,Z,N,Z,E",2026-04-30T18:30:06.904000Z,2026-04-30T18:30:06.232000Z,0.671999990940094,0.0
4,node1,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.372000Z,0.242,5,"ar_p,aic,aic,baer,baer","ZNE,Z,E,Z,N",2026-04-30T18:37:31.362000Z,2026-04-30T18:37:31.442000Z,0.23199999332427979,0.31200000643730164
4,node2,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.386000Z,0.256,5,"ar_p,aic,aic,baer,baer","ZNE,N,Z,Z,N",2026-04-30T18:37:31.372000Z,2026-04-30T18:37:31.460000Z,0.24199999868869781,0.33000001311302185
4,node3,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.398000Z,0.268,4,"aic,baer,aic,aic","N,N,Z,E",2026-04-30T18:37:31.456000Z,2026-04-30T18:37:31.466000Z,0.32600000500679016,0.335999995470047
4,node4,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.412000Z,0.282,3,"aic,aic,baer","N,E,E",2026-04-30T18:37:31.382000Z,2026-04-30T18:37:31.488000Z,0.25200000405311584,0.3580000102519989
4,node5,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.408000Z,0.278,3,"aic,aic,baer","N,Z,N",2026-04-30T18:37:31.480000Z,2026-04-30T18:37:31.130000Z,0.3499999940395355,0.0
4,node6,2026-04-30 18:37:31.380,2026-04-30 18:37:31.630,True,2026-04-30T18:37:31.474000Z,0.344,2,"baer,aic","E,E",2026-04-30T18:37:31.162000Z,2026-04-30T18:37:31.516000Z,0.03200000151991844,0.38600000739097595
6,node1,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.125000Z,0.247,6,"ar_p,aic,baer,aic,baer,baer","ZNE,N,N,Z,Z,E",2026-04-30T18:37:37.114000Z,2026-04-30T18:37:37.120000Z,0.23600000143051147,0.24199999868869781
6,node2,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.134000Z,0.256,6,"ar_p,aic,baer,aic,baer,aic","ZNE,N,E,Z,N,E",2026-04-30T18:37:37.130000Z,2026-04-30T18:37:37.132000Z,0.25200000405311584,0.2540000081062317
6,node3,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.140000Z,0.262,7,"ar_p,aic,aic,baer,baer,baer,aic","ZNE,N,Z,E,Z,N,E",2026-04-30T18:37:37.128000Z,2026-04-30T18:37:37.142000Z,0.25,0.2639999985694885
6,node4,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.149000Z,0.271,6,"ar_p,aic,baer,aic,baer,baer","ZNE,N,N,Z,Z,E",2026-04-30T18:37:37.138000Z,2026-04-30T18:37:37.144000Z,0.25999999046325684,0.26600000262260437
6,node5,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.160000Z,0.282,5,"ar_p,aic,baer,aic,baer","ZNE,Z,Z,N,N",2026-04-30T18:37:37.146000Z,2026-04-30T18:37:37.188000Z,0.2680000066757202,0.3100000023841858
6,node6,2026-04-30 18:37:37.128,2026-04-30 18:37:37.280,True,2026-04-30T18:37:37.164000Z,0.286,3,"aic,aic,baer","Z,N,N",2026-04-30T18:37:36.906000Z,2026-04-30T18:37:37.178000Z,0.02800000086426735,0.30000001192092896
7,node1,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.451000Z,0.093,2,"baer,baer","Z,N",2026-04-30T18:37:37.596000Z,2026-04-30T18:37:37.602000Z,0.23800000548362732,0.24400000274181366
7,node2,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.618000Z,0.26,5,"ar_p,aic,aic,aic,baer","ZNE,N,Z,E,Z",2026-04-30T18:37:37.608000Z,2026-04-30T18:37:37.616000Z,0.25,0.257999986410141
7,node3,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.623000Z,0.265,6,"ar_p,aic,aic,baer,baer,aic","ZNE,Z,N,Z,N,E",2026-04-30T18:37:37.610000Z,2026-04-30T18:37:37.622000Z,0.25200000405311584,0.2639999985694885
7,node4,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.632000Z,0.274,7,"ar_p,aic,baer,aic,aic,baer,baer","ZNE,N,N,E,Z,Z,E",2026-04-30T18:37:37.622000Z,2026-04-30T18:37:37.624000Z,0.2639999985694885,0.26600000262260437
7,node5,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.640000Z,0.282,7,"ar_p,baer,aic,aic,aic,baer,baer","ZNE,Z,N,Z,E,N,E",2026-04-30T18:37:37.628000Z,2026-04-30T18:37:37.358000Z,0.27000001072883606,0.0
7,node6,2026-04-30 18:37:37.608,2026-04-30 18:37:37.754,True,2026-04-30T18:37:37.644000Z,0.286,5,"ar_p,aic,aic,aic,baer","ZNE,N,Z,E,Z",2026-04-30T18:37:37.632000Z,2026-04-30T18:37:37.660000Z,0.27399998903274536,0.3019999861717224
8,node1,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.252000Z,0.27,5,"ar_p,aic,aic,baer,aic","ZNE,N,Z,N,E",2026-04-30T18:38:01.242000Z,2026-04-30T18:38:01.252000Z,0.25999999046325684,0.27000001072883606
8,node2,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.264000Z,0.282,5,"aic,ar_p,aic,aic,baer","N,ZNE,Z,E,Z",2026-04-30T18:38:01.260000Z,2026-04-30T18:38:01.272000Z,0.27799999713897705,0.28999999165534973
8,node3,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.277000Z,0.295,6,"aic,baer,baer,aic,ar_p,aic","N,Z,E,E,ZNE,Z",2026-04-30T18:38:01.278000Z,2026-04-30T18:38:01.284000Z,0.29600000381469727,0.3019999861717224
8,node4,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.286000Z,0.304,3,"aic,ar_p,aic","N,ZNE,Z",2026-04-30T18:38:01.286000Z,2026-04-30T18:38:01.296000Z,0.30399999022483826,0.3140000104904175
8,node5,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.298000Z,0.316,3,"baer,aic,ar_p","Z,Z,ZNE",2026-04-30T18:38:01.298000Z,2026-04-30T18:38:01.306000Z,0.3160000145435333,0.3240000009536743
8,node6,2026-04-30 18:38:01.232,2026-04-30 18:38:01.414,True,2026-04-30T18:38:01.312000Z,0.33,4,"baer,aic,ar_p,aic","Z,N,ZNE,Z",2026-04-30T18:38:01.316000Z,2026-04-30T18:38:01.322000Z,0.33399999141693115,0.3400000035762787
9,node1,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.491000Z,0.471,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:38:52.476000Z,2026-04-30T18:38:52.490000Z,0.4560000002384186,0.4699999988079071
9,node2,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.498000Z,0.478,5,"ar_p,aic,aic,aic,baer","ZNE,N,E,Z,E",2026-04-30T18:38:52.488000Z,2026-04-30T18:38:52.498000Z,0.46799999475479126,0.4779999852180481
9,node3,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.508000Z,0.488,5,"ar_p,baer,aic,aic,aic","ZNE,Z,Z,N,E",2026-04-30T18:38:52.496000Z,2026-04-30T18:38:52.506000Z,0.47600001096725464,0.4860000014305115
9,node4,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.510000Z,0.49,5,"ar_p,aic,aic,baer,aic","ZNE,Z,N,E,E",2026-04-30T18:38:52.498000Z,2026-04-30T18:38:52.516000Z,0.4779999852180481,0.4959999918937683
9,node5,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.521000Z,0.501,4,"aic,aic,aic,baer","Z,N,E,E",2026-04-30T18:38:52.502000Z,2026-04-30T18:38:52.538000Z,0.4819999933242798,0.5180000066757202
9,node6,2026-04-30 18:38:52.270,2026-04-30 18:38:52.650,True,2026-04-30T18:38:52.523000Z,0.503,4,"aic,aic,aic,baer","Z,N,E,E",2026-04-30T18:38:52.504000Z,2026-04-30T18:38:52.532000Z,0.48399999737739563,0.5120000243186951
10,node1,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.901000Z,0.293,4,"ar_p,aic,aic,aic","ZNE,N,Z,E",2026-04-30T18:39:06.890000Z,2026-04-30T18:39:06.900000Z,0.28200000524520874,0.2919999957084656
10,node2,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.910000Z,0.302,4,"ar_p,aic,aic,aic","ZNE,N,E,Z",2026-04-30T18:39:06.898000Z,2026-04-30T18:39:06.908000Z,0.28999999165534973,0.30000001192092896
10,node3,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.917000Z,0.309,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:06.904000Z,2026-04-30T18:39:06.916000Z,0.29600000381469727,0.30799999833106995
10,node4,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.918000Z,0.31,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:06.906000Z,2026-04-30T18:39:06.918000Z,0.2980000078678131,0.3100000023841858
10,node5,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.925000Z,0.317,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:06.912000Z,2026-04-30T18:39:06.940000Z,0.30399999022483826,0.3319999873638153
10,node6,2026-04-30 18:39:06.858,2026-04-30 18:39:07.082,True,2026-04-30T18:39:06.926000Z,0.318,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:06.914000Z,2026-04-30T18:39:06.942000Z,0.3059999942779541,0.33399999141693115
11,node1,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.751000Z,0.667,4,"ar_p,aic,aic,aic","ZNE,N,Z,E",2026-04-30T18:39:33.740000Z,2026-04-30T18:39:33.750000Z,0.656000018119812,0.6660000085830688
11,node2,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.758000Z,0.674,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:33.750000Z,2026-04-30T18:39:33.758000Z,0.6660000085830688,0.6740000247955322
11,node3,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.766000Z,0.682,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:33.754000Z,2026-04-30T18:39:33.764000Z,0.6700000166893005,0.6800000071525574
11,node4,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.768000Z,0.684,4,"ar_p,aic,aic,aic","ZNE,Z,N,E",2026-04-30T18:39:33.756000Z,2026-04-30T18:39:33.768000Z,0.671999990940094,0.6840000152587891
11,node5,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.772000Z,0.688,3,"ar_p,aic,aic","ZNE,Z,N",2026-04-30T18:39:33.762000Z,2026-04-30T18:39:33.802000Z,0.6779999732971191,0.7179999947547913
11,node6,2026-04-30 18:39:33.334,2026-04-30 18:39:33.948,True,2026-04-30T18:39:33.774000Z,0.69,3,"ar_p,aic,aic","ZNE,Z,N",2026-04-30T18:39:33.764000Z,2026-04-30T18:39:33.084000Z,0.6800000071525574,0.0
13,node1,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.561000Z,0.375,4,"ar_p,aic,aic,aic","ZNE,N,Z,E",2026-04-30T18:39:50.554000Z,2026-04-30T18:39:50.562000Z,0.36800000071525574,0.37599998712539673
13,node2,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.570000Z,0.384,5,"ar_p,aic,aic,aic,baer","ZNE,Z,N,E,E",2026-04-30T18:39:50.560000Z,2026-04-30T18:39:50.572000Z,0.37400001287460327,0.38600000739097595
13,node3,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.578000Z,0.392,5,"ar_p,baer,aic,aic,aic","ZNE,Z,Z,N,E",2026-04-30T18:39:50.566000Z,2026-04-30T18:39:50.576000Z,0.3799999952316284,0.38999998569488525
13,node4,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.580000Z,0.394,5,"ar_p,aic,aic,aic,baer","ZNE,Z,N,E,E",2026-04-30T18:39:50.568000Z,2026-04-30T18:39:50.580000Z,0.38199999928474426,0.39399999380111694
13,node5,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.210000Z,0.024,3,"baer,baer,baer","Z,N,E",2026-04-30T18:39:50.572000Z,2026-04-30T18:39:50.596000Z,0.38600000739097595,0.4099999964237213
13,node6,2026-04-30 18:39:50.436,2026-04-30 18:39:50.736,True,2026-04-30T18:39:50.212000Z,0.026,3,"baer,baer,baer","Z,N,E",2026-04-30T18:39:50.576000Z,2026-04-30T18:39:50.594000Z,0.38999998569488525,0.40799999237060547
14,node1,2026-04-30 18:39:54.006,2026-04-30 18:39:54.158,True,2026-04-30T18:39:54.008000Z,0.252,5,"ar_p,aic,aic,baer,aic","ZNE,N,E,N,Z",2026-04-30T18:39:54.002000Z,2026-04-30T18:39:54.006000Z,0.2460000067949295,0.25
14,node2,2026-04-30 18:39:54.006,2026-04-30 18:39:54.158,True,2026-04-30T18:39:54.018000Z,0.262,7,"baer,ar_p,aic,aic,aic,baer,baer","N,ZNE,N,Z,E,E,Z",2026-04-30T18:39:54.010000Z,2026-04-30T18:39:54.016000Z,0.2540000081062317,0.25999999046325684
14,node3,2026-04-30 18:39:54.006,2026-04-30 18:39:54.158,True,2026-04-30T18:39:54.024000Z,0.268,6,"ar_p,aic,aic,baer,baer,aic","ZNE,Z,N,Z,N,E",2026-04-30T18:39:54.014000Z,2026-04-30T18:39:54.026000Z,0.257999986410141,0.27000001072883606
