spread,channel,x_m,z_m
0,0,0.0,1.0
0,1,1.0,1.0
0,2,2.0,1.0
0,3,3.0,1.0
0,4,4.0,1.0
0,5,5.0,1.0
0,6,6.0,1.0
0,7,7.0,1.0
0,8,8.0,1.0
0,9,9.0,1.0
0,10,10.0,1.0
0,11,11.0,1.0
0,12,12.0,1.0
0,13,13.0,1.0
0,14,14.0,1.0
0,15,15.0,1.0
0,16,16.0,1.0
0,17,17.0,1.0
0,18,18.0,1.0
0,19,19.0,1.0
0,20,20.0,1.0
0,21,21.0,1.0
0,22,22.0,1.0
0,23,23.0,1.0
0,24,24.0,1.0
0,25,25.0,1.0
0,26,26.0,1.0
0,27,27.0,1.0
0,28,28.0,1.0
0,29,29.0,1.0
0,30,30.0,1.0
0,31,31.0,1.0
0,32,32.0,1.0
0,33,33.0,1.0
0,34,34.0,1.0
0,35,35.0,1.0
0,36,36.0,1.0
0,37,37.0,1.0
0,38,38.0,1.0
0,39,39.0,1.0
0,40,40.0,1.0
0,41,41.0,1.0
0,42,42.0,1.0
0,43,43.0,1.0
0,44,44.0,1.0
0,45,45.0,1.0
0,46,46.0,1.0
0,47,47.0,1.0
1,0,23.0,1.0
1,1,24.0,1.0
1,2,25.0,1.0
1,3,26.0,1.0
1,4,27.0,1.0
1,5,28.0,1.0
1,6,29.0,1.0
1,7,30.0,1.0
1,8,31.0,1.0
1,9,32.0,1.0
1,10,33.0,1.0
1,11,34.0,1.0
1,12,35.0,1.0
1,13,36.0,1.0
1,14,37.0,1.0
1,15,38.0,1.0
1,16,39.0,1.0
1,17,40.0,1.0
1,18,41.0,1.0
1,19,42.0,1.0
1,20,43.0,1.0
1,21,44.0,1.0
1,22,45.0,1.0
1,23,46.0,1.0
1,24,47.0,1.0
1,25,48.0,1.0
1,26,49.0,1.0
1,27,50.0,1.0
1,28,51.0,1.0
1,29,52.0,1.0
1,30,53.0,1.0
1,31,54.0,1.0
1,32,55.0,1.0
1,33,56.0,1.0
1,34,57.0,1.0
1,35,58.0,1.0
1,36,59.0,1.0
1,37,60.0,1.0
1,38,61.0,1.0
1,39,62.0,1.0
1,40,63.0,1.0
1,41,64.0,1.0
1,42,65.0,1.0
1,43,66.0,1.0
1,44,67.0,1.0
1,45,68.0,1.0
1,46,69.0,1.0
1,47,70.0,1.0
2,0,46.0,1.0
2,1,47.0,1.0
2,2,48.0,1.0
2,3,49.0,1.0
2,4,50.0,1.0
2,5,51.0,1.0
2,6,52.0,1.0
2,7,53.0,1.0
2,8,54.0,1.0
2,9,55.0,1.0
2,10,56.0,1.0
2,11,57.0,1.0
2,12,58.0,1.0
2,13,59.0,1.0
2,14,60.0,1.0
2,15,61.0,1.0
2,16,62.0,1.0
2,17,63.0,1.0
2,18,64.0,1.0
2,19,65.0,1.0
2,20,66.0,1.0
2,21,67.0,1.0
2,22,68.0,1.0
2,23,69.0,1.0
2,24,70.0,1.0
2,25,71.0,1.0
2,26,72.0,1.0
2,27,73.0,1.0
2,28,74.0,1.0
2,29,75.0,1.0
2,30,76.0,1.0
2,31,77.0,1.0
2,32,78.0,1.0
2,33,79.0,1.0
2,34,80.0,1.0
2,35,81.0,1.0
2,36,82.0,1.0
2,37,83.0,1.0
2,38,84.0,1.0
2,39,85.0,1.0
2,40,86.0,1.0
2,41,87.0,1.0
2,42,88.0,1.0
2,43,89.0,1.0
2,44,90.0,1.0
2,45,91.0,1.0
2,46,92.0,1.0
2,47,93.0,1.0
3,0,69.0,1.0
3,1,70.0,1.0
3,2,71.0,1.0
3,3,72.0,1.0
3,4,73.0,1.0
3,5,74.0,1.0
3,6,75.0,1.0
3,7,76.0,1.0
3,8,77.0,1.0
3,9,78.0,1.0
3,10,79.0,1.0
3,11,80.0,1.0
3,12,81.0,1.0
3,13,82.0,1.0
3,14,83.0,1.0
3,15,84.0,1.0
3,16,85.0,1.0
3,17,86.0,1.0
3,18,87.0,1.0
3,19,88.0,1.0
3,20,89.0,1.0
3,21,90.0,1.0
3,22,91.0,1.0
3,23,92.0,1.0
3,24,93.0,1.0
3,25,94.0,1.0
3,26,95.0,1.0
3,27,96.0,1.0
3,28,97.0,1.0
3,29,98.0,1.0
3,30,99.0,1.0
3,31,100.0,1.0
3,32,101.0,1.0
3,33,102.0,1.0
3,34,103.0,1.0
3,35,104.0,1.0
3,36,105.0,1.0
3,37,106.0,1.0
3,38,107.0,1.0
3,39,108.0,1.0
3,40,109.0,1.0
3,41,110.0,1.0
3,42,111.0,1.0
3,43,112.0,1.0
3,44,113.0,1.0
3,45,114.0,1.0
3,46,115.0,1.0
3,47,116.0,1.0
4,0,92.0,1.0
4,1,93.0,1.0
4,2,94.0,1.0
4,3,95.0,1.0
4,4,96.0,1.0
4,5,97.0,1.0
4,6,98.0,1.0
4,7,99.0,1.0
4,8,100.0,1.0
4,9,101.0,1.0
4,10,102.0,1.0
4,11,103.0,1.0
4,12,104.0,1.0
4,13,105.0,1.0
4,14,106.0,1.0
4,15,107.0,1.0
4,16,108.0,1.0
