shot,x_m,z_m
SHOT000,-24.0,1.0
SHOT001,-16.0,1.0
SHOT002,-8.0,1.0
SHOT003,0.0,1.0
SHOT004,4.0,1.0
SHOT005,8.0,1.0
SHOT006,12.0,1.0
SHOT007,16.0,1.0
SHOT008,20.0,1.0
SHOT009,24.0,1.0
SHOT010,28.0,1.0
SHOT011,32.0,1.0
SHOT012,36.0,1.0
SHOT013,40.0,1.0
SHOT014,44.0,1.0
SHOT015,48.0,1.0
SHOT016,52.0,1.0
SHOT017,56.0,1.0
SHOT018,60.0,1.0
SHOT019,64.0,1.0
SHOT020,68.0,1.0
SHOT021,72.0,1.0
SHOT022,76.0,1.0
SHOT023,80.0,1.0
SHOT024,84.0,1.0
SHOT025,88.0,1.0
SHOT026,92.0,1.0
SHOT027,96.0,1.0
SHOT028,100.0,1.0
SHOT029,104.0,1.0
SHOT030,108.0,1.0
SHOT031,112.0,1.0
SHOT032,116.0,1.0
SHOT033,120.0,1.0
SHOT034,124.0,1.0
SHOT035,128.0,1.0
SHOT036,132.0,1.0
SHOT037,136.0,1.0
SHOT038,140.0,1.0
SHOT039,148.0,1.0
SHOT040,156.0,1.0
SHOT041,164.0,1.0
