label,n_traveltimes,mean_abs_dt_ms,median_abs_dt_ms,p90_abs_dt_ms,p95_abs_dt_ms,p99_abs_dt_ms,max_abs_dt_ms,mean_percent_change,p95_abs_percent_change,receiver_spacing_m,shot_spacing_m,receiver_halfwidth_m,shot_halfwidth_m,receiver_count_approx,shot_count_approx
r1_s1_rhw25_shw40,4066,0.07550844749750023,0.06435087944394943,0.15621871963311662,0.1850262212084299,0.23901466582399944,0.30589911023378746,0.12162972007780352,4.182925954455502,1,1,25,40,51,81
r1_s1_rhw25_shw60,6106,0.07621927675179,0.06483217808241656,0.15680684414354823,0.18681535131903929,0.24112857249334252,0.3364615821128611,0.09540374807688069,3.15205116513723,1,1,25,60,51,121
r1_s1_rhw25_shw80,8146,0.07387701482336939,0.06254244726569026,0.15126100331385242,0.18023945685465698,0.23596885217123667,0.3364615821128611,0.06495937154918836,2.5014850432572446,1,1,25,80,51,161
r1_s1_rhw25_shw100,10186,0.07002638859852311,0.05918854326533024,0.1442987993000005,0.17353065647661253,0.22839206400744635,0.3364615821128611,0.05155118483052106,2.0664203447083875,1,1,25,100,51,201
r1_s1_rhw35_shw40,5660,0.07583455164845622,0.06451616932980943,0.15519225589262853,0.18501990171319108,0.23850517837403912,0.30589911023378746,0.0899768820712444,4.389466168070496,1,1,35,40,71,81
r1_s1_rhw35_shw60,8500,0.07595689863426404,0.06447891006919423,0.15505465936534632,0.18614616275132567,0.2399233329433228,0.3364615821128611,0.059539370152237085,3.2101791136938695,1,1,35,60,71,121
r1_s1_rhw35_shw80,11340,0.07352352208128116,0.062065710323779,0.1506552706772101,0.17994075217529173,0.23591855155942634,0.3364615821128611,0.03199093057765827,2.5181740063645845,1,1,35,80,71,161
r1_s1_rhw35_shw100,14180,0.06943459143326097,0.05805857479700138,0.14411143042013883,0.17329792902041322,0.22858732160796502,0.3364615821128611,0.021813822312150392,2.0722642874663797,1,1,35,100,71,201
r1_s1_rhw50_shw40,8078,0.07853279910870756,0.06701773289040662,0.16211479858429453,0.19418367914666357,0.2503557316496207,0.33681433362790436,0.06880679818899516,3.6425339597665953,1,1,50,40,101,81
r1_s1_rhw50_shw60,12094,0.07818542926500979,0.06668211240322115,0.16085396969792226,0.19313405618999713,0.246185812701671,0.33681433362790436,0.047971842955997664,3.3252128741947597,1,1,50,60,101,121
r1_s1_rhw50_shw80,16134,0.07548730522337252,0.06358516396496325,0.15511360026042623,0.18665954887729722,0.2416685636159456,0.33681433362790436,0.03179502958960211,2.6549291032351086,1,1,50,80,101,161
r1_s1_rhw50_shw100,20174,0.07129212435811774,0.05876082123198057,0.14961166845181306,0.17738441449126213,0.236018954761214,0.33681433362790436,0.0268523615633122,2.1441926773728053,1,1,50,100,101,201
r1_s1_rhw75_shw40,12128,0.07531104003814841,0.06344050354490337,0.15448398362523375,0.18521545391918512,0.24132825095161217,0.33681433362790436,0.05191066307490779,2.7320132714235297,1,1,75,40,151,81
r1_s1_rhw75_shw60,18120,0.07490768457846149,0.06330745597488682,0.15392112592387439,0.18504361438076636,0.23918288547087682,0.33681433362790436,0.04066629174026301,2.7223774142518176,1,1,75,60,151,121
r1_s1_rhw75_shw80,24120,0.07195526224285527,0.05994015124259784,0.14951801641518958,0.17899485142893778,0.23553029648253873,0.33681433362790436,0.058335029620246406,2.3389321755632264,1,1,75,80,151,161
r1_s1_rhw75_shw100,30160,0.06751175678800621,0.055261688045964846,0.1432114568787675,0.17134918368453944,0.22803640740578804,0.33681433362790436,0.04673621215278572,1.9475683720350458,1,1,75,100,151,201
r1_s2_rhw25_shw40,2058,0.07938538242128414,0.0680364498035509,0.1650611606557292,0.19424129737412876,0.24761771415575679,0.29944749579957286,0.20206272696155275,4.039908577365513,1,2,25,40,51,41
r1_s2_rhw25_shw60,3078,0.07796887203727006,0.06717579253950716,0.16073758900452584,0.1902451641631065,0.24298916029477374,0.29944749579957286,0.15111920460781955,3.031461552603032,1,2,25,60,51,61
r1_s2_rhw25_shw80,4098,0.0745329260442238,0.06356621672537,0.15249140175860565,0.18089196134222996,0.23685679875392768,0.29944749579957286,0.11585605688909774,2.4500806870531453,1,2,25,80,51,81
r1_s2_rhw25_shw100,5118,0.07057260358442108,0.0596404408881486,0.14420203805380893,0.17427938945991686,0.23327980573497337,0.29944749579957286,0.09223549637565016,2.0403728023314467,1,2,25,100,51,101
r1_s2_rhw35_shw40,2865,0.07946106771889287,0.06833146656463202,0.16294118329024943,0.19378547828203177,0.24580157025102986,0.30352425816823364,0.1780645448094454,4.105325698750071,1,2,35,40,71,41
r1_s2_rhw35_shw60,4285,0.07778259510331266,0.06744300971577022,0.15768821413994352,0.18891892709466798,0.24268435793628765,0.30352425816823364,0.11929742716612614,3.104250504160592,1,2,35,60,71,61
r1_s2_rhw35_shw80,5705,0.07420713645314016,0.06326747560150316,0.15110691467239634,0.18025249502902357,0.2362012921153106,0.30352425816823364,0.08634836404915255,2.51604531526179,1,2,35,80,71,81
r1_s2_rhw35_shw100,7125,0.07000472527868673,0.05882557310948541,0.14410676393857638,0.17366126727874387,0.2307777916574833,0.30352425816823364,0.06527193274428814,2.0708153400949274,1,2,35,100,71,101
r1_s2_rhw50_shw40,4089,0.08148853101485458,0.06961989144248269,0.16633806958951947,0.19900279540587712,0.26059086641154455,0.326091156900174,0.15306066448886232,3.583430943307981,1,2,50,40,101,41
r1_s2_rhw50_shw60,6099,0.07938620656675754,0.06810928496611517,0.16292158797281475,0.19459747153063664,0.24608616674349623,0.326091156900174,0.09430709148557048,3.270522145230783,1,2,50,60,101,61
r1_s2_rhw50_shw80,8119,0.0758418837955501,0.06443636955590429,0.15576615521290246,0.18618568347882866,0.24092624013357172,0.326091156900174,0.07681560470928703,2.623761113149246,1,2,50,80,101,81
r1_s2_rhw50_shw100,10139,0.0715962164159779,0.059302439875646984,0.15033553769431415,0.17711101463904624,0.23565222862109925,0.326091156900174,0.06274616687452464,2.1325233939420243,1,2,50,100,101,101
r1_s2_rhw75_shw40,6139,0.07788403223604826,0.06698542062920365,0.16009955749924018,0.18992015604110013,0.24560348526179018,0.326091156900174,0.1233507235119727,2.7756917103397725,1,2,75,40,151,41
r1_s2_rhw75_shw60,9135,0.07588260677523449,0.06493401338101071,0.15525758933535172,0.18503177870158125,0.23966316236120835,0.326091156900174,0.09726834393271637,2.678598187732275,1,2,75,60,151,61
r1_s2_rhw75_shw80,12137,0.07217184435219125,0.06066007987021865,0.1496871264660235,0.17737890824125466,0.23502005116039956,0.326091156900174,0.1294521366837579,2.333056051929891,1,2,75,80,151,81
r1_s2_rhw75_shw100,15157,0.06771369124758483,0.0560307179930334,0.14344415583464348,0.17124057696650954,0.2281932138104942,0.326091156900174,0.10343558036492323,1.9296950528722572,1,2,75,100,151,101
