kind,array,channel,x_m,z_m,y_m,label,receiver_id
receiver,cabled,1,-75.0,1.0,-1.0,G001,0
receiver,cabled,2,-74.0,1.0,-1.0,G002,1
receiver,cabled,3,-73.0,1.0,-1.0,G003,2
receiver,cabled,4,-72.0,1.0,-1.0,G004,3
receiver,cabled,5,-71.0,1.0,-1.0,G005,4
receiver,cabled,6,-70.0,1.0,-1.0,G006,5
receiver,cabled,7,-69.0,1.0,-1.0,G007,6
receiver,cabled,8,-68.0,1.0,-1.0,G008,7
receiver,cabled,9,-67.0,1.0,-1.0,G009,8
receiver,cabled,10,-66.0,1.0,-1.0,G010,9
receiver,cabled,11,-65.0,1.0,-1.0,G011,10
receiver,cabled,12,-64.0,1.0,-1.0,G012,11
receiver,cabled,13,-63.0,1.0,-1.0,G013,12
receiver,cabled,14,-62.0,1.0,-1.0,G014,13
receiver,cabled,15,-61.0,1.0,-1.0,G015,14
receiver,cabled,16,-60.0,1.0,-1.0,G016,15
receiver,cabled,17,-59.0,1.0,-1.0,G017,16
receiver,cabled,18,-58.0,1.0,-1.0,G018,17
receiver,cabled,19,-57.0,1.0,-1.0,G019,18
receiver,cabled,20,-56.0,1.0,-1.0,G020,19
receiver,cabled,21,-55.0,1.0,-1.0,G021,20
receiver,cabled,22,-54.0,1.0,-1.0,G022,21
receiver,cabled,23,-53.0,1.0,-1.0,G023,22
receiver,cabled,24,-52.0,1.0,-1.0,G024,23
receiver,cabled,25,-51.0,1.0,-1.0,G025,24
receiver,cabled,26,-50.0,1.0,-1.0,G026,25
receiver,cabled,27,-49.0,1.0,-1.0,G027,26
receiver,cabled,28,-48.0,1.0,-1.0,G028,27
receiver,cabled,29,-47.0,1.0,-1.0,G029,28
receiver,cabled,30,-46.0,1.0,-1.0,G030,29
receiver,cabled,31,-45.0,1.0,-1.0,G031,30
receiver,cabled,32,-44.0,1.0,-1.0,G032,31
receiver,cabled,33,-43.0,1.0,-1.0,G033,32
receiver,cabled,34,-42.0,1.0,-1.0,G034,33
receiver,cabled,35,-41.0,1.0,-1.0,G035,34
receiver,cabled,36,-40.0,1.0,-1.0,G036,35
receiver,cabled,37,-39.0,1.0,-1.0,G037,36
receiver,cabled,38,-38.0,1.0,-1.0,G038,37
receiver,cabled,39,-37.0,1.0,-1.0,G039,38
receiver,cabled,40,-36.0,1.0,-1.0,G040,39
receiver,cabled,41,-35.0,1.0,-1.0,G041,40
receiver,cabled,42,-34.0,1.0,-1.0,G042,41
receiver,cabled,43,-33.0,1.0,-1.0,G043,42
receiver,cabled,44,-32.0,1.0,-1.0,G044,43
receiver,cabled,45,-31.0,1.0,-1.0,G045,44
receiver,cabled,46,-30.0,1.0,-1.0,G046,45
receiver,cabled,47,-29.0,1.0,-1.0,G047,46
receiver,cabled,48,-28.0,1.0,-1.0,G048,47
receiver,cabled,49,-27.0,1.0,-1.0,G049,48
receiver,cabled,50,-26.0,1.0,-1.0,G050,49
receiver,cabled,51,-25.0,1.0,-1.0,G051,50
receiver,cabled,52,-24.0,1.0,-1.0,G052,51
receiver,cabled,53,-23.0,1.0,-1.0,G053,52
receiver,cabled,54,-22.0,1.0,-1.0,G054,53
receiver,cabled,55,-21.0,1.0,-1.0,G055,54
receiver,cabled,56,-20.0,1.0,-1.0,G056,55
receiver,cabled,57,-19.0,1.0,-1.0,G057,56
receiver,cabled,58,-18.0,1.0,-1.0,G058,57
receiver,cabled,59,-17.0,1.0,-1.0,G059,58
receiver,cabled,60,-16.0,1.0,-1.0,G060,59
receiver,cabled,61,-15.0,1.0,-1.0,G061,60
receiver,cabled,62,-14.0,1.0,-1.0,G062,61
receiver,cabled,63,-13.0,1.0,-1.0,G063,62
receiver,cabled,64,-12.0,1.0,-1.0,G064,63
receiver,cabled,65,-11.0,1.0,-1.0,G065,64
receiver,cabled,66,-10.0,1.0,-1.0,G066,65
receiver,cabled,67,-9.0,1.0,-1.0,G067,66
receiver,cabled,68,-8.0,1.0,-1.0,G068,67
receiver,cabled,69,-7.0,1.0,-1.0,G069,68
receiver,cabled,70,-6.0,1.0,-1.0,G070,69
receiver,cabled,71,-5.0,1.0,-1.0,G071,70
receiver,cabled,72,-4.0,1.0,-1.0,G072,71
receiver,cabled,73,-3.0,1.0,-1.0,G073,72
receiver,cabled,74,-2.0,1.0,-1.0,G074,73
receiver,cabled,75,-1.0,1.0,-1.0,G075,74
receiver,cabled,76,0.0,1.0,-1.0,G076,75
receiver,cabled,77,1.0,1.0,-1.0,G077,76
receiver,cabled,78,2.0,1.0,-1.0,G078,77
receiver,cabled,79,3.0,1.0,-1.0,G079,78
receiver,cabled,80,4.0,1.0,-1.0,G080,79
receiver,cabled,81,5.0,1.0,-1.0,G081,80
receiver,cabled,82,6.0,1.0,-1.0,G082,81
receiver,cabled,83,7.0,1.0,-1.0,G083,82
receiver,cabled,84,8.0,1.0,-1.0,G084,83
receiver,cabled,85,9.0,1.0,-1.0,G085,84
receiver,cabled,86,10.0,1.0,-1.0,G086,85
receiver,cabled,87,11.0,1.0,-1.0,G087,86
receiver,cabled,88,12.0,1.0,-1.0,G088,87
receiver,cabled,89,13.0,1.0,-1.0,G089,88
receiver,cabled,90,14.0,1.0,-1.0,G090,89
receiver,cabled,91,15.0,1.0,-1.0,G091,90
receiver,cabled,92,16.0,1.0,-1.0,G092,91
receiver,cabled,93,17.0,1.0,-1.0,G093,92
receiver,cabled,94,18.0,1.0,-1.0,G094,93
receiver,cabled,95,19.0,1.0,-1.0,G095,94
receiver,cabled,96,20.0,1.0,-1.0,G096,95
receiver,cabled,97,21.0,1.0,-1.0,G097,96
receiver,cabled,98,22.0,1.0,-1.0,G098,97
receiver,cabled,99,23.0,1.0,-1.0,G099,98
receiver,cabled,100,24.0,1.0,-1.0,G100,99
receiver,cabled,101,25.0,1.0,-1.0,G101,100
receiver,cabled,102,26.0,1.0,-1.0,G102,101
receiver,cabled,103,27.0,1.0,-1.0,G103,102
receiver,cabled,104,28.0,1.0,-1.0,G104,103
receiver,cabled,105,29.0,1.0,-1.0,G105,104
receiver,cabled,106,30.0,1.0,-1.0,G106,105
receiver,cabled,107,31.0,1.0,-1.0,G107,106
receiver,cabled,108,32.0,1.0,-1.0,G108,107
receiver,cabled,109,33.0,1.0,-1.0,G109,108
receiver,cabled,110,34.0,1.0,-1.0,G110,109
receiver,cabled,111,35.0,1.0,-1.0,G111,110
receiver,cabled,112,36.0,1.0,-1.0,G112,111
receiver,cabled,113,37.0,1.0,-1.0,G113,112
receiver,cabled,114,38.0,1.0,-1.0,G114,113
receiver,cabled,115,39.0,1.0,-1.0,G115,114
receiver,cabled,116,40.0,1.0,-1.0,G116,115
receiver,cabled,117,41.0,1.0,-1.0,G117,116
receiver,cabled,118,42.0,1.0,-1.0,G118,117
receiver,cabled,119,43.0,1.0,-1.0,G119,118
receiver,cabled,120,44.0,1.0,-1.0,G120,119
receiver,cabled,121,45.0,1.0,-1.0,G121,120
receiver,cabled,122,46.0,1.0,-1.0,G122,121
receiver,cabled,123,47.0,1.0,-1.0,G123,122
receiver,cabled,124,48.0,1.0,-1.0,G124,123
receiver,cabled,125,49.0,1.0,-1.0,G125,124
receiver,cabled,126,50.0,1.0,-1.0,G126,125
receiver,cabled,127,51.0,1.0,-1.0,G127,126
receiver,cabled,128,52.0,1.0,-1.0,G128,127
receiver,cabled,129,53.0,1.0,-1.0,G129,128
receiver,cabled,130,54.0,1.0,-1.0,G130,129
receiver,cabled,131,55.0,1.0,-1.0,G131,130
receiver,cabled,132,56.0,1.0,-1.0,G132,131
receiver,cabled,133,57.0,1.0,-1.0,G133,132
receiver,cabled,134,58.0,1.0,-1.0,G134,133
receiver,cabled,135,59.0,1.0,-1.0,G135,134
receiver,cabled,136,60.0,1.0,-1.0,G136,135
receiver,cabled,137,61.0,1.0,-1.0,G137,136
receiver,cabled,138,62.0,1.0,-1.0,G138,137
receiver,cabled,139,63.0,1.0,-1.0,G139,138
receiver,cabled,140,64.0,1.0,-1.0,G140,139
receiver,cabled,141,65.0,1.0,-1.0,G141,140
receiver,cabled,142,66.0,1.0,-1.0,G142,141
receiver,cabled,143,67.0,1.0,-1.0,G143,142
receiver,cabled,144,68.0,1.0,-1.0,G144,143
receiver,cabled,145,69.0,1.0,-1.0,G145,144
receiver,cabled,146,70.0,1.0,-1.0,G146,145
receiver,cabled,147,71.0,1.0,-1.0,G147,146
receiver,cabled,148,72.0,1.0,-1.0,G148,147
receiver,cabled,149,73.0,1.0,-1.0,G149,148
receiver,cabled,150,74.0,1.0,-1.0,G150,149
receiver,cabled,151,75.0,1.0,-1.0,G151,150
