kind,source_type,x_m,z_m,y_m,label,shot_id
shot,regular,-100.0,1.0,-1.0,S001,0
shot,regular,-99.0,1.0,-1.0,S002,1
shot,regular,-98.0,1.0,-1.0,S003,2
shot,regular,-97.0,1.0,-1.0,S004,3
shot,regular,-96.0,1.0,-1.0,S005,4
shot,regular,-95.0,1.0,-1.0,S006,5
shot,regular,-94.0,1.0,-1.0,S007,6
shot,regular,-93.0,1.0,-1.0,S008,7
shot,regular,-92.0,1.0,-1.0,S009,8
shot,regular,-91.0,1.0,-1.0,S010,9
shot,regular,-90.0,1.0,-1.0,S011,10
shot,regular,-89.0,1.0,-1.0,S012,11
shot,regular,-88.0,1.0,-1.0,S013,12
shot,regular,-87.0,1.0,-1.0,S014,13
shot,regular,-86.0,1.0,-1.0,S015,14
shot,regular,-85.0,1.0,-1.0,S016,15
shot,regular,-84.0,1.0,-1.0,S017,16
shot,regular,-83.0,1.0,-1.0,S018,17
shot,regular,-82.0,1.0,-1.0,S019,18
shot,regular,-81.0,1.0,-1.0,S020,19
shot,regular,-80.0,1.0,-1.0,S021,20
shot,regular,-79.0,1.0,-1.0,S022,21
shot,regular,-78.0,1.0,-1.0,S023,22
shot,regular,-77.0,1.0,-1.0,S024,23
shot,regular,-76.0,1.0,-1.0,S025,24
shot,regular,-75.0,1.0,-1.0,S026,25
shot,regular,-74.0,1.0,-1.0,S027,26
shot,regular,-73.0,1.0,-1.0,S028,27
shot,regular,-72.0,1.0,-1.0,S029,28
shot,regular,-71.0,1.0,-1.0,S030,29
shot,regular,-70.0,1.0,-1.0,S031,30
shot,regular,-69.0,1.0,-1.0,S032,31
shot,regular,-68.0,1.0,-1.0,S033,32
shot,regular,-67.0,1.0,-1.0,S034,33
shot,regular,-66.0,1.0,-1.0,S035,34
shot,regular,-65.0,1.0,-1.0,S036,35
shot,regular,-64.0,1.0,-1.0,S037,36
shot,regular,-63.0,1.0,-1.0,S038,37
shot,regular,-62.0,1.0,-1.0,S039,38
shot,regular,-61.0,1.0,-1.0,S040,39
shot,regular,-60.0,1.0,-1.0,S041,40
shot,regular,-59.0,1.0,-1.0,S042,41
shot,regular,-58.0,1.0,-1.0,S043,42
shot,regular,-57.0,1.0,-1.0,S044,43
shot,regular,-56.0,1.0,-1.0,S045,44
shot,regular,-55.0,1.0,-1.0,S046,45
shot,regular,-54.0,1.0,-1.0,S047,46
shot,regular,-53.0,1.0,-1.0,S048,47
shot,regular,-52.0,1.0,-1.0,S049,48
shot,regular,-51.0,1.0,-1.0,S050,49
shot,regular,-50.0,1.0,-1.0,S051,50
shot,regular,-49.0,1.0,-1.0,S052,51
shot,regular,-48.0,1.0,-1.0,S053,52
shot,regular,-47.0,1.0,-1.0,S054,53
shot,regular,-46.0,1.0,-1.0,S055,54
shot,regular,-45.0,1.0,-1.0,S056,55
shot,regular,-44.0,1.0,-1.0,S057,56
shot,regular,-43.0,1.0,-1.0,S058,57
shot,regular,-42.0,1.0,-1.0,S059,58
shot,regular,-41.0,1.0,-1.0,S060,59
shot,regular,-40.0,1.0,-1.0,S061,60
shot,regular,-39.0,1.0,-1.0,S062,61
shot,regular,-38.0,1.0,-1.0,S063,62
shot,regular,-37.0,1.0,-1.0,S064,63
shot,regular,-36.0,1.0,-1.0,S065,64
shot,regular,-35.0,1.0,-1.0,S066,65
shot,regular,-34.0,1.0,-1.0,S067,66
shot,regular,-33.0,1.0,-1.0,S068,67
shot,regular,-32.0,1.0,-1.0,S069,68
shot,regular,-31.0,1.0,-1.0,S070,69
shot,regular,-30.0,1.0,-1.0,S071,70
shot,regular,-29.0,1.0,-1.0,S072,71
shot,regular,-28.0,1.0,-1.0,S073,72
shot,regular,-27.0,1.0,-1.0,S074,73
shot,regular,-26.0,1.0,-1.0,S075,74
shot,regular,-25.0,1.0,-1.0,S076,75
shot,regular,-24.0,1.0,-1.0,S077,76
shot,regular,-23.0,1.0,-1.0,S078,77
shot,regular,-22.0,1.0,-1.0,S079,78
shot,regular,-21.0,1.0,-1.0,S080,79
shot,regular,-20.0,1.0,-1.0,S081,80
shot,regular,-19.0,1.0,-1.0,S082,81
shot,regular,-18.0,1.0,-1.0,S083,82
shot,regular,-17.0,1.0,-1.0,S084,83
shot,regular,-16.0,1.0,-1.0,S085,84
shot,regular,-15.0,1.0,-1.0,S086,85
shot,regular,-14.0,1.0,-1.0,S087,86
shot,regular,-13.0,1.0,-1.0,S088,87
shot,regular,-12.0,1.0,-1.0,S089,88
shot,regular,-11.0,1.0,-1.0,S090,89
shot,regular,-10.0,1.0,-1.0,S091,90
shot,regular,-9.0,1.0,-1.0,S092,91
shot,regular,-8.0,1.0,-1.0,S093,92
shot,regular,-7.0,1.0,-1.0,S094,93
shot,regular,-6.0,1.0,-1.0,S095,94
shot,regular,-5.0,1.0,-1.0,S096,95
shot,regular,-4.0,1.0,-1.0,S097,96
shot,regular,-3.0,1.0,-1.0,S098,97
shot,regular,-2.0,1.0,-1.0,S099,98
shot,regular,-1.0,1.0,-1.0,S100,99
shot,regular,0.0,1.0,-1.0,S101,100
shot,regular,1.0,1.0,-1.0,S102,101
shot,regular,2.0,1.0,-1.0,S103,102
shot,regular,3.0,1.0,-1.0,S104,103
shot,regular,4.0,1.0,-1.0,S105,104
shot,regular,5.0,1.0,-1.0,S106,105
shot,regular,6.0,1.0,-1.0,S107,106
shot,regular,7.0,1.0,-1.0,S108,107
shot,regular,8.0,1.0,-1.0,S109,108
shot,regular,9.0,1.0,-1.0,S110,109
shot,regular,10.0,1.0,-1.0,S111,110
shot,regular,11.0,1.0,-1.0,S112,111
shot,regular,12.0,1.0,-1.0,S113,112
shot,regular,13.0,1.0,-1.0,S114,113
shot,regular,14.0,1.0,-1.0,S115,114
shot,regular,15.0,1.0,-1.0,S116,115
shot,regular,16.0,1.0,-1.0,S117,116
shot,regular,17.0,1.0,-1.0,S118,117
shot,regular,18.0,1.0,-1.0,S119,118
shot,regular,19.0,1.0,-1.0,S120,119
shot,regular,20.0,1.0,-1.0,S121,120
shot,regular,21.0,1.0,-1.0,S122,121
shot,regular,22.0,1.0,-1.0,S123,122
shot,regular,23.0,1.0,-1.0,S124,123
shot,regular,24.0,1.0,-1.0,S125,124
shot,regular,25.0,1.0,-1.0,S126,125
shot,regular,26.0,1.0,-1.0,S127,126
shot,regular,27.0,1.0,-1.0,S128,127
shot,regular,28.0,1.0,-1.0,S129,128
shot,regular,29.0,1.0,-1.0,S130,129
shot,regular,30.0,1.0,-1.0,S131,130
shot,regular,31.0,1.0,-1.0,S132,131
shot,regular,32.0,1.0,-1.0,S133,132
shot,regular,33.0,1.0,-1.0,S134,133
shot,regular,34.0,1.0,-1.0,S135,134
shot,regular,35.0,1.0,-1.0,S136,135
shot,regular,36.0,1.0,-1.0,S137,136
shot,regular,37.0,1.0,-1.0,S138,137
shot,regular,38.0,1.0,-1.0,S139,138
shot,regular,39.0,1.0,-1.0,S140,139
shot,regular,40.0,1.0,-1.0,S141,140
shot,regular,41.0,1.0,-1.0,S142,141
shot,regular,42.0,1.0,-1.0,S143,142
shot,regular,43.0,1.0,-1.0,S144,143
shot,regular,44.0,1.0,-1.0,S145,144
shot,regular,45.0,1.0,-1.0,S146,145
shot,regular,46.0,1.0,-1.0,S147,146
shot,regular,47.0,1.0,-1.0,S148,147
shot,regular,48.0,1.0,-1.0,S149,148
shot,regular,49.0,1.0,-1.0,S150,149
shot,regular,50.0,1.0,-1.0,S151,150
shot,regular,51.0,1.0,-1.0,S152,151
shot,regular,52.0,1.0,-1.0,S153,152
shot,regular,53.0,1.0,-1.0,S154,153
shot,regular,54.0,1.0,-1.0,S155,154
shot,regular,55.0,1.0,-1.0,S156,155
shot,regular,56.0,1.0,-1.0,S157,156
shot,regular,57.0,1.0,-1.0,S158,157
shot,regular,58.0,1.0,-1.0,S159,158
shot,regular,59.0,1.0,-1.0,S160,159
shot,regular,60.0,1.0,-1.0,S161,160
shot,regular,61.0,1.0,-1.0,S162,161
shot,regular,62.0,1.0,-1.0,S163,162
shot,regular,63.0,1.0,-1.0,S164,163
shot,regular,64.0,1.0,-1.0,S165,164
shot,regular,65.0,1.0,-1.0,S166,165
shot,regular,66.0,1.0,-1.0,S167,166
shot,regular,67.0,1.0,-1.0,S168,167
shot,regular,68.0,1.0,-1.0,S169,168
shot,regular,69.0,1.0,-1.0,S170,169
shot,regular,70.0,1.0,-1.0,S171,170
shot,regular,71.0,1.0,-1.0,S172,171
shot,regular,72.0,1.0,-1.0,S173,172
shot,regular,73.0,1.0,-1.0,S174,173
shot,regular,74.0,1.0,-1.0,S175,174
shot,regular,75.0,1.0,-1.0,S176,175
shot,regular,76.0,1.0,-1.0,S177,176
shot,regular,77.0,1.0,-1.0,S178,177
shot,regular,78.0,1.0,-1.0,S179,178
shot,regular,79.0,1.0,-1.0,S180,179
shot,regular,80.0,1.0,-1.0,S181,180
shot,regular,81.0,1.0,-1.0,S182,181
shot,regular,82.0,1.0,-1.0,S183,182
shot,regular,83.0,1.0,-1.0,S184,183
shot,regular,84.0,1.0,-1.0,S185,184
shot,regular,85.0,1.0,-1.0,S186,185
shot,regular,86.0,1.0,-1.0,S187,186
shot,regular,87.0,1.0,-1.0,S188,187
shot,regular,88.0,1.0,-1.0,S189,188
shot,regular,89.0,1.0,-1.0,S190,189
shot,regular,90.0,1.0,-1.0,S191,190
shot,regular,91.0,1.0,-1.0,S192,191
shot,regular,92.0,1.0,-1.0,S193,192
shot,regular,93.0,1.0,-1.0,S194,193
shot,regular,94.0,1.0,-1.0,S195,194
shot,regular,95.0,1.0,-1.0,S196,195
shot,regular,96.0,1.0,-1.0,S197,196
shot,regular,97.0,1.0,-1.0,S198,197
shot,regular,98.0,1.0,-1.0,S199,198
shot,regular,99.0,1.0,-1.0,S200,199
shot,regular,100.0,1.0,-1.0,S201,200
