s_m,z_m
141.75,-6.634937380952382
142.25,-6.471752857142858
142.75,-6.311824285714287
143.25,-6.155151666666672
143.75,-6.0174492857142905
144.25,-5.864627857142863
144.75,-5.712473095238101
145.25,-5.491639761904768
145.75,-5.3357707142857205
146.25,-5.151020714285719
147.25,-5.127151666666672
147.75,-5.158782619047624
148.25,-5.2535802380952425
148.75,-5.538485000000005
149.25,-5.740949285714292
149.75,-5.8477230952381
150.25,-6.111842142857143
150.75,-6.440752857142857
151.25,-6.834455238095237
151.25,-7.509354047619047
150.75,-8.540985000000001
150.25,-9.245163571428574
149.75,-9.62188976190477
149.25,-9.558199285714293
148.75,-9.532604047619056
148.25,-9.532532619047629
147.75,-9.521794523809533
147.25,-9.67288976190477
146.25,-9.879973095238105
145.75,-9.536556428571437
145.25,-9.358449285714293
144.75,-9.008449285714295
144.25,-8.754020714285723
143.75,-8.479996904761911
143.25,-8.159092142857151
142.75,-7.945806428571429
142.25,-7.795610000000001
141.75,-7.708502857142857
141.75,-6.634937380952382
