station,network,x_m,z_m,receiver_type,source_geometry
GT10001,T1,52.0,49.78810266049426,geode_refraction,T1_2m_refraction
GT10002,T1,54.0,49.73741727429591,geode_refraction,T1_2m_refraction
GT10003,T1,56.0,49.717295931081715,geode_refraction,T1_2m_refraction
GT10004,T1,58.0,49.71811658934154,geode_refraction,T1_2m_refraction
GT10005,T1,60.0,49.5646016393281,geode_refraction,T1_2m_refraction
GT10006,T1,62.0,49.53161563695946,geode_refraction,T1_2m_refraction
GT10007,T1,64.0,49.49229315530815,geode_refraction,T1_2m_refraction
GT10008,T1,66.0,49.435852677231686,geode_refraction,T1_2m_refraction
GT10009,T1,68.0,49.369737945743324,geode_refraction,T1_2m_refraction
GT10010,T1,70.0,49.32758270575117,geode_refraction,T1_2m_refraction
GT10011,T1,72.0,49.298636231184325,geode_refraction,T1_2m_refraction
GT10012,T1,74.0,49.2377990613187,geode_refraction,T1_2m_refraction
GT10013,T1,76.0,49.134439043243304,geode_refraction,T1_2m_refraction
GT10014,T1,78.0,49.020921442874645,geode_refraction,T1_2m_refraction
GT10015,T1,80.0,48.922498427689376,geode_refraction,T1_2m_refraction
GT10016,T1,82.0,48.794328254909516,geode_refraction,T1_2m_refraction
GT10017,T1,84.0,48.7035824590952,geode_refraction,T1_2m_refraction
GT10018,T1,86.0,48.68887794004287,geode_refraction,T1_2m_refraction
GT10019,T1,88.0,48.62912465913206,geode_refraction,T1_2m_refraction
GT10020,T1,90.0,48.512950402274356,geode_refraction,T1_2m_refraction
GT10021,T1,92.0,48.36898605986345,geode_refraction,T1_2m_refraction
GT10022,T1,94.0,48.35199435649113,geode_refraction,T1_2m_refraction
GT10023,T1,96.0,48.329844472248745,geode_refraction,T1_2m_refraction
GT10024,T1,98.0,48.293815564683484,geode_refraction,T1_2m_refraction
GT10025,T1,100.0,48.27197245901574,geode_refraction,T1_2m_refraction
GT10026,T1,102.0,48.2462618573078,geode_refraction,T1_2m_refraction
GT10027,T1,104.0,48.177514889277695,geode_refraction,T1_2m_refraction
GT10028,T1,106.0,48.148435739558195,geode_refraction,T1_2m_refraction
GT10029,T1,108.0,48.1146755453566,geode_refraction,T1_2m_refraction
GT10030,T1,110.0,48.104144892219495,geode_refraction,T1_2m_refraction
GT10031,T1,112.0,48.1235285575001,geode_refraction,T1_2m_refraction
GT10032,T1,114.0,48.14186790098092,geode_refraction,T1_2m_refraction
GT10033,T1,116.0,48.17984927763522,geode_refraction,T1_2m_refraction
GT10034,T1,118.0,48.21950009315334,geode_refraction,T1_2m_refraction
GT10035,T1,120.0,48.24162157995927,geode_refraction,T1_2m_refraction
GT10036,T1,122.0,48.273329419108094,geode_refraction,T1_2m_refraction
GT10037,T1,124.0,48.36896049618508,geode_refraction,T1_2m_refraction
GT10038,T1,126.0,48.31606212319907,geode_refraction,T1_2m_refraction
GT10039,T1,128.0,48.31705948702722,geode_refraction,T1_2m_refraction
GT10040,T1,130.0,48.31827890104612,geode_refraction,T1_2m_refraction
GT10041,T1,132.0,48.31580821893395,geode_refraction,T1_2m_refraction
GT10042,T1,134.0,48.417754655548094,geode_refraction,T1_2m_refraction
GT10043,T1,136.0,48.499133142008965,geode_refraction,T1_2m_refraction
GT10044,T1,138.0,48.53391730470079,geode_refraction,T1_2m_refraction
GT10045,T1,140.0,48.52853971691,geode_refraction,T1_2m_refraction
GT10046,T1,142.0,48.53895649114362,geode_refraction,T1_2m_refraction
GT10047,T1,144.0,48.50990620352728,geode_refraction,T1_2m_refraction
GT10048,T1,146.0,48.48589317248377,geode_refraction,T1_2m_refraction
GT10049,T1,148.0,48.4313320051001,geode_refraction,T1_2m_refraction
GT10050,T1,150.0,48.41056919741063,geode_refraction,T1_2m_refraction
GT10051,T1,152.0,48.40253038926383,geode_refraction,T1_2m_refraction
GT10052,T1,154.0,48.313169862784335,geode_refraction,T1_2m_refraction
GT10053,T1,156.0,48.292985660691656,geode_refraction,T1_2m_refraction
GT10054,T1,158.0,48.29308490159248,geode_refraction,T1_2m_refraction
GT10055,T1,160.0,48.27545915653438,geode_refraction,T1_2m_refraction
GT10056,T1,162.0,48.260626567443865,geode_refraction,T1_2m_refraction
GT10057,T1,164.0,48.27682908634919,geode_refraction,T1_2m_refraction
GT10058,T1,166.0,48.25231570817249,geode_refraction,T1_2m_refraction
GT10059,T1,168.0,48.21304906635315,geode_refraction,T1_2m_refraction
GT10060,T1,170.0,48.16283085056554,geode_refraction,T1_2m_refraction
GT10061,T1,172.0,48.1422466615215,geode_refraction,T1_2m_refraction
GT10062,T1,174.0,48.11029920260986,geode_refraction,T1_2m_refraction
GT10063,T1,176.0,48.08142113807931,geode_refraction,T1_2m_refraction
GT10064,T1,178.0,48.0602781821565,geode_refraction,T1_2m_refraction
GT10065,T1,180.0,48.00489036348511,geode_refraction,T1_2m_refraction
GT10066,T1,182.0,47.891159178462686,geode_refraction,T1_2m_refraction
GT10067,T1,184.0,47.8816225891159,geode_refraction,T1_2m_refraction
GT10068,T1,186.0,47.92437439410598,geode_refraction,T1_2m_refraction
GT10069,T1,188.0,47.999827281267656,geode_refraction,T1_2m_refraction
GT10070,T1,190.0,48.10506279896981,geode_refraction,T1_2m_refraction
GT10071,T1,192.0,48.152643566506995,geode_refraction,T1_2m_refraction
GT10072,T1,194.0,48.17149670799185,geode_refraction,T1_2m_refraction
