station,network,x_m,z_m,receiver_type,source_geometry,serial_number
N000,T1,68.09,49.363434165386735,smartsolo_node,T1_N2_geometry,453013783
N001,T1,76.0,49.134439043243304,smartsolo_node,T1_N2_geometry,453012683
N002,T1,80.025,48.921113042904416,smartsolo_node,T1_N2_geometry,453013322
N003,T1,84.05,48.70447623442317,smartsolo_node,T1_N2_geometry,453020406
N004,T1,88.075,48.62430705241639,smartsolo_node,T1_N2_geometry,453012150
N005,T1,92.1,48.36587734798624,smartsolo_node,T1_N2_geometry,453012246
N006,T1,96.05,48.328516775113435,smartsolo_node,T1_N2_geometry,453011708
N007,T1,100.0,48.27197245901574,smartsolo_node,T1_N2_geometry,453012806
N008,T1,104.08,48.17511577667154,smartsolo_node,T1_N2_geometry,453012353
N009,T1,106.03,48.14752667662764,smartsolo_node,T1_N2_geometry,453011990
N010,T1,108.14,48.10905685836738,smartsolo_node,T1_N2_geometry,453005764
N011,T1,110.05,48.105702995343485,smartsolo_node,T1_N2_geometry,453013396
N012,T1,112.15,48.12672439744699,smartsolo_node,T1_N2_geometry,453012143
N013,T1,114.0,48.14186790098092,smartsolo_node,T1_N2_geometry,453014357
N014,T1,116.11,48.18166079975308,smartsolo_node,T1_N2_geometry,453013230
N015,T1,117.97,48.21861565249083,smartsolo_node,T1_N2_geometry,453014060
N016,T1,120.18,48.241688198506566,smartsolo_node,T1_N2_geometry,453012536
N017,T1,122.04,48.27378804785394,smartsolo_node,T1_N2_geometry,453019115
N018,T1,124.13,48.37309058407528,smartsolo_node,T1_N2_geometry,453014233
N019,T1,126.38,48.308742569165226,smartsolo_node,T1_N2_geometry,453012320
N020,T1,128.15,48.319768315590984,smartsolo_node,T1_N2_geometry,453019414
N021,T1,129.96,48.318251815710525,smartsolo_node,T1_N2_geometry,453020358
N022,T1,132.16,48.316428214299336,smartsolo_node,T1_N2_geometry,453013851
N023,T1,134.02,48.419143482032084,smartsolo_node,T1_N2_geometry,453013425
N024,T1,136.2,48.50936138224252,smartsolo_node,T1_N2_geometry,453011953
N025,T1,137.82,48.533793620879976,smartsolo_node,T1_N2_geometry,454013828
N026,T1,140.0,48.52853971691,smartsolo_node,T1_N2_geometry,453011986
N027,T1,144.0,48.50990620352728,smartsolo_node,T1_N2_geometry,453005726
N028,T1,148.0,48.4313320051001,smartsolo_node,T1_N2_geometry,453013060
N029,T1,151.95,48.40353334577983,smartsolo_node,T1_N2_geometry,453020221
N030,T1,155.96,48.29269624474482,smartsolo_node,T1_N2_geometry,453012828
N031,T1,160.0,48.27545915653438,smartsolo_node,T1_N2_geometry,453013593
N032,T1,164.0,48.27682908634919,smartsolo_node,T1_N2_geometry,453012727
N033,T1,168.09,48.210557213373,smartsolo_node,T1_N2_geometry,453013692
N034,T1,176.04,48.08135238739188,smartsolo_node,T1_N2_geometry,453012800
N035,T1,184.05,47.8820485676636,smartsolo_node,T1_N2_geometry,453012795
