station,network,offset_m,receiver_type,source_geometry
STR0001,STMR,1.524,moving_streamer,streamer_24ch_5ft_relative
STR0002,STMR,3.048,moving_streamer,streamer_24ch_5ft_relative
STR0003,STMR,4.572,moving_streamer,streamer_24ch_5ft_relative
STR0004,STMR,6.096,moving_streamer,streamer_24ch_5ft_relative
STR0005,STMR,7.62,moving_streamer,streamer_24ch_5ft_relative
STR0006,STMR,9.144,moving_streamer,streamer_24ch_5ft_relative
STR0007,STMR,10.668,moving_streamer,streamer_24ch_5ft_relative
STR0008,STMR,12.192,moving_streamer,streamer_24ch_5ft_relative
STR0009,STMR,13.716000000000001,moving_streamer,streamer_24ch_5ft_relative
STR0010,STMR,15.24,moving_streamer,streamer_24ch_5ft_relative
STR0011,STMR,16.764,moving_streamer,streamer_24ch_5ft_relative
STR0012,STMR,18.288,moving_streamer,streamer_24ch_5ft_relative
STR0013,STMR,19.812,moving_streamer,streamer_24ch_5ft_relative
STR0014,STMR,21.336,moving_streamer,streamer_24ch_5ft_relative
STR0015,STMR,22.86,moving_streamer,streamer_24ch_5ft_relative
STR0016,STMR,24.384,moving_streamer,streamer_24ch_5ft_relative
STR0017,STMR,25.908,moving_streamer,streamer_24ch_5ft_relative
STR0018,STMR,27.432000000000002,moving_streamer,streamer_24ch_5ft_relative
STR0019,STMR,28.956,moving_streamer,streamer_24ch_5ft_relative
STR0020,STMR,30.48,moving_streamer,streamer_24ch_5ft_relative
STR0021,STMR,32.004,moving_streamer,streamer_24ch_5ft_relative
STR0022,STMR,33.528,moving_streamer,streamer_24ch_5ft_relative
STR0023,STMR,35.052,moving_streamer,streamer_24ch_5ft_relative
STR0024,STMR,36.576,moving_streamer,streamer_24ch_5ft_relative
