file_no,datfile,datfile_stem,geode_folder,geode_folder_date,geode_file_path,read_ok,read_format,error,n_traces,sampling_rate_hz,npts_first_trace,duration_s_first_trace,geode_laptop_starttime,geode_laptop_starttime_iso,geode_laptop_starttime_epoch,geode_time_source
1001,1001.dat,1001,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1001.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 13:12:26,2026-05-16T13:12:26,1778937146.0,obspy_trace_stats_starttime
1002,1002.dat,1002,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1002.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:20:53,2026-05-16T14:20:53,1778941253.0,obspy_trace_stats_starttime
1003,1003.dat,1003,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1003.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:24:44,2026-05-16T14:24:44,1778941484.0,obspy_trace_stats_starttime
1004,1004.dat,1004,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1004.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:28:19,2026-05-16T14:28:19,1778941699.0,obspy_trace_stats_starttime
1005,1005.dat,1005,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1005.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:32:02,2026-05-16T14:32:02,1778941922.0,obspy_trace_stats_starttime
1006,1006.dat,1006,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1006.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:34:29,2026-05-16T14:34:29,1778942069.0,obspy_trace_stats_starttime
1007,1007.dat,1007,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1007.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:39:22,2026-05-16T14:39:22,1778942362.0,obspy_trace_stats_starttime
1008,1008.dat,1008,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1008.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:43:41,2026-05-16T14:43:41,1778942621.0,obspy_trace_stats_starttime
1009,1009.dat,1009,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1009.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:46:26,2026-05-16T14:46:26,1778942786.0,obspy_trace_stats_starttime
1010,1010.dat,1010,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1010.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:49:43,2026-05-16T14:49:43,1778942983.0,obspy_trace_stats_starttime
1011,1011.dat,1011,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1011.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:53:14,2026-05-16T14:53:14,1778943194.0,obspy_trace_stats_starttime
1012,1012.dat,1012,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1012.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 14:56:24,2026-05-16T14:56:24,1778943384.0,obspy_trace_stats_starttime
1013,1013.dat,1013,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1013.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:00:13,2026-05-16T15:00:13,1778943613.0,obspy_trace_stats_starttime
1014,1014.dat,1014,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1014.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:03:09,2026-05-16T15:03:09,1778943789.0,obspy_trace_stats_starttime
1015,1015.dat,1015,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1015.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:06:12,2026-05-16T15:06:12,1778943972.0,obspy_trace_stats_starttime
1016,1016.dat,1016,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1016.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:08:46,2026-05-16T15:08:46,1778944126.0,obspy_trace_stats_starttime
1017,1017.dat,1017,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1017.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:11:38,2026-05-16T15:11:38,1778944298.0,obspy_trace_stats_starttime
1018,1018.dat,1018,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1018.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:15:26,2026-05-16T15:15:26,1778944526.0,obspy_trace_stats_starttime
1019,1019.dat,1019,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1019.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:17:34,2026-05-16T15:17:34,1778944654.0,obspy_trace_stats_starttime
1020,1020.dat,1020,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1020.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:21:02,2026-05-16T15:21:02,1778944862.0,obspy_trace_stats_starttime
1021,1021.dat,1021,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1021.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:24:44,2026-05-16T15:24:44,1778945084.0,obspy_trace_stats_starttime
1022,1022.dat,1022,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1022.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:33:11,2026-05-16T15:33:11,1778945591.0,obspy_trace_stats_starttime
1023,1023.dat,1023,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1023.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:36:28,2026-05-16T15:36:28,1778945788.0,obspy_trace_stats_starttime
1024,1024.dat,1024,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1024.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:39:23,2026-05-16T15:39:23,1778945963.0,obspy_trace_stats_starttime
1025,1025.dat,1025,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1025.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:41:10,2026-05-16T15:41:10,1778946070.0,obspy_trace_stats_starttime
1026,1026.dat,1026,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1026.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:43:19,2026-05-16T15:43:19,1778946199.0,obspy_trace_stats_starttime
1027,1027.dat,1027,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1027.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:48:07,2026-05-16T15:48:07,1778946487.0,obspy_trace_stats_starttime
1028,1028.dat,1028,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1028.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:50:58,2026-05-16T15:50:58,1778946658.0,obspy_trace_stats_starttime
1029,1029.dat,1029,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1029.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:52:48,2026-05-16T15:52:48,1778946768.0,obspy_trace_stats_starttime
1030,1030.dat,1030,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1030.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:54:56,2026-05-16T15:54:56,1778946896.0,obspy_trace_stats_starttime
1031,1031.dat,1031,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1031.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:56:26,2026-05-16T15:56:26,1778946986.0,obspy_trace_stats_starttime
1032,1032.dat,1032,LBS_051626,2026-05-16,/Volumes/tachyon/LBSSP_DATA/GEODE_DATA/LBS_051626/1032.dat,True,SEG2,,24,2000.0,4000,1.9995,2026-05-16 15:59:24,2026-05-16T15:59:24,1778947164.0,obspy_trace_stats_starttime
